Country,City,AccentCity,Population,Latitude,Longitude
in,ajmer,Ajmer,517947.0,26.45,74.633333
in,akola,Akola,428892.0,20.733333,77.0
in,aligarh,Aligarh,753280.0,27.883333,78.083333
in,allahabad,Allahabad,1073544.0,25.45,81.85
in,ambattur,Ambattur,341078.0,13.076667,80.088611
in,amravati,Amravati,603885.0,20.933333,77.75
in,amritsar,Amritsar,1092528.0,31.633056,74.86555600000001
in,asansol,Asansol,504320.0,23.683333,86.983333
in,aurangabad,Aurangabad,1016520.0,19.883333,75.333333
in,bangalore,Bangalore,4931603.0,12.983333,77.583333
in,barddhaman,Barddhaman,301754.0,23.240556,87.869444
in,bareli,Bareli,745509.0,28.35,79.416667
in,belgaum,Belgaum,428756.0,15.866667,74.5
in,bellary,Bellary,336710.0,15.15,76.93333299999998
in,bhagalpur,Bhagalpur,361587.0,25.25,87.0
in,bhatpara,Bhatpara,483175.0,22.871389,88.408889
in,bhavnagar,Bhavnagar,555014.0,21.766667,72.15
